subject, block, trial, offer_right, offer_left, exp_value_right, exp_value_left, key, key_ID, chosen_card, unchosen_card, rt, reward
0,0,1, 1.png, 2.png,0.69358862,0.38187668, pressed right button,5,1,2,0.6801886,1
0,0,2, 2.png, 1.png,0.3963755,0.69056294, pressed left button,4,1,2,0.4640098,1
0,0,3, 2.png, 1.png,0.42184579,0.71319523, pressed right button,5,2,1,0.5085258,0
0,0,4, 2.png, 1.png,0.41592763,0.68607327, pressed left button,4,1,2,0.3950027,1
0,0,5, 2.png, 1.png,0.40928682,0.66128443, pressed left button,4,1,2,0.4285036,1
0,0,6, 2.png, 1.png,0.42147605,0.69511306, pressed left button,4,1,2,0.4155344,1
0,0,7, 2.png, 1.png,0.41316813,0.72510969, pressed left button,4,1,2,0.4436756,0
0,0,8, 1.png, 2.png,0.67753924,0.4452702, pressed left button,4,2,1,0.5200345,0
0,0,9, 2.png, 1.png,0.43634603,0.66872967, pressed right button,5,2,1,0.4496479,1
0,0,10, 1.png, 2.png,0.64560663,0.48269385, pressed left button,4,2,1,0.366729,0
0,0,11, 2.png, 1.png,0.44708582,0.62928264, pressed left button,4,1,2,0.4055721,1
0,0,12, 2.png, 1.png,0.41062622,0.63827553, pressed left button,4,1,2,0.4012032,1
0,0,13, 1.png, 2.png,0.63700392,0.49079817, pressed right button,5,1,2,0.3546546,0
0,0,14, 1.png, 2.png,0.62446919,0.50851058, pressed left button,4,2,1,0.3691274,1
0,0,15, 1.png, 2.png,0.60904519,0.56138499, pressed left button,4,2,1,0.3174329,0
0,0,16, 1.png, 2.png,0.57690435,0.56250636, pressed right button,5,1,2,0.283128,0
0,0,17, 2.png, 1.png,0.5480705,0.59423321, pressed left button,4,1,2,0.3113268,0
0,0,18, 1.png, 2.png,0.58575815,0.55178611, pressed left button,4,2,1,0.381197,1
0,0,19, 1.png, 2.png,0.59886733,0.54322118, pressed left button,4,2,1,0.316126,1
0,0,20, 2.png, 1.png,0.57398473,0.55970336, pressed right button,5,2,1,0.3502359,0
0,0,21, 2.png, 1.png,0.53910594,0.52668733, pressed right button,5,2,1,0.6089164,0
0,0,22, 2.png, 1.png,0.53945614,0.48536218, pressed left button,4,1,2,0.309901,1
0,0,23, 2.png, 1.png,0.55485135,0.50111334, pressed left button,4,1,2,0.2839683,1
0,0,24, 2.png, 1.png,0.51798414,0.49594437, pressed left button,4,1,2,0.3149605,1
0,0,25, 2.png, 1.png,0.5357713,0.52664975, pressed left button,4,1,2,0.4038303,0
0,0,26, 2.png, 1.png,0.5369896,0.5428878, pressed right button,5,2,1,0.5548226,0
0,0,27, 1.png, 2.png,0.4979855,0.5293018, pressed left button,4,2,1,0.6157688,0
0,0,28, 1.png, 2.png,0.45972423,0.50692946, pressed right button,5,1,2,0.4122075,1
0,0,29, 1.png, 2.png,0.49828841,0.50359935, pressed right button,5,1,2,0.4643683,0
0,0,30, 1.png, 2.png,0.47420307,0.54197855, pressed left button,4,2,1,0.3386847,0
0,0,31, 2.png, 1.png,0.57129608,0.47101485, pressed right button,5,2,1,0.4474883,0
0,0,32, 2.png, 1.png,0.59351306,0.47660617, pressed left button,4,1,2,0.2609957,1
0,0,33, 1.png, 2.png,0.50878503,0.59973273, pressed right button,5,1,2,0.4578947,1
0,0,34, 1.png, 2.png,0.52913878,0.62561819, pressed right button,5,1,2,0.4644399,0
0,0,35, 2.png, 1.png,0.62325941,0.53191122, pressed left button,4,1,2,0.481234,0
0,0,36, 1.png, 2.png,0.53126461,0.61088179, pressed left button,4,2,1,0.4368254,1
0,0,37, 2.png, 1.png,0.6122672,0.52493828, pressed right button,5,2,1,0.3392117,0
0,0,38, 2.png, 1.png,0.59882923,0.53170162, pressed right button,5,2,1,0.4367319,1
0,0,39, 2.png, 1.png,0.59276663,0.51037051, pressed right button,5,2,1,0.3083116,1
0,0,40, 1.png, 2.png,0.48966776,0.62016496, pressed left button,4,2,1,0.3068843,1
0,0,41, 1.png, 2.png,0.46539734,0.60799379, pressed left button,4,2,1,0.3900017,1
0,0,42, 1.png, 2.png,0.43462077,0.60124495, pressed left button,4,2,1,0.2848023,0
0,0,43, 1.png, 2.png,0.4459349,0.6375376, pressed right button,5,1,2,0.332707,1
0,0,44, 1.png, 2.png,0.39552202,0.60278116, pressed left button,4,2,1,0.3194317,1
0,0,45, 1.png, 2.png,0.39521325,0.62716774, pressed left button,4,2,1,0.4193593,0
0,0,46, 1.png, 2.png,0.39648387,0.59950089, pressed right button,5,1,2,0.2596913,0
0,0,47, 2.png, 1.png,0.59770842,0.42574789, pressed right button,5,2,1,0.4355144,0
0,0,48, 1.png, 2.png,0.41140559,0.60320901, pressed left button,4,2,1,0.3314249,0
0,0,49, 2.png, 1.png,0.6253576,0.43921914, pressed left button,4,1,2,0.4331781,0
0,0,50, 1.png, 2.png,0.43937153,0.618828, pressed right button,5,1,2,0.3220779,1
0,0,51, 2.png, 1.png,0.58544921,0.43077782, pressed left button,4,1,2,0.3201347,1
0,0,52, 1.png, 2.png,0.43196726,0.57616521, pressed right button,5,1,2,0.294572,0
0,0,53, 1.png, 2.png,0.43917048,0.62020837, pressed right button,5,1,2,0.4247299,0
0,0,54, 2.png, 1.png,0.57958563,0.47579774, pressed left button,4,1,2,0.4873111,0
0,0,55, 2.png, 1.png,0.5730182,0.46876027, pressed right button,5,2,1,0.7353967,1
0,0,56, 2.png, 1.png,0.55914168,0.47226086, pressed right button,5,2,1,0.4512423,1
0,0,57, 2.png, 1.png,0.52969211,0.48123031, pressed right button,5,2,1,0.4156025,1
0,0,58, 1.png, 2.png,0.44508451,0.52345804, pressed left button,4,2,1,0.8005953,1
0,0,59, 1.png, 2.png,0.47180429,0.51747114, pressed left button,4,2,1,0.6058507,0
0,0,60, 1.png, 2.png,0.47269556,0.48167139, pressed left button,4,2,1,0.4591269,0
0,0,61, 1.png, 2.png,0.51407401,0.5048448, pressed left button,4,2,1,0.375779,0
0,0,62, 1.png, 2.png,0.47425831,0.48878139, pressed right button,5,1,2,0.3123845,0
0,0,63, 2.png, 1.png,0.48387052,0.45472194, pressed left button,4,1,2,0.4793541,0
0,0,64, 1.png, 2.png,0.45733921,0.49469685, pressed right button,5,1,2,0.5304432,0
0,0,65, 2.png, 1.png,0.51077025,0.49081758, pressed right button,5,2,1,0.8811961,0
0,0,66, 2.png, 1.png,0.52474082,0.54477401, pressed right button,5,2,1,0.4539177,1
0,0,67, 1.png, 2.png,0.54001411,0.48970627, pressed left button,4,2,1,0.4768649,0
0,0,68, 1.png, 2.png,0.56796924,0.50062098, pressed left button,4,2,1,0.5786561,0
0,0,69, 2.png, 1.png,0.52406385,0.60501449, pressed right button,5,2,1,0.4874003,1
0,0,70, 2.png, 1.png,0.51586742,0.54701455, pressed right button,5,2,1,0.4865841,0
0,0,71, 1.png, 2.png,0.53540954,0.50483561, pressed right button,5,1,2,0.5811093,0
0,0,72, 1.png, 2.png,0.55461799,0.49790795, pressed right button,5,1,2,0.4268841,0
0,0,73, 2.png, 1.png,0.46044214,0.54943097, pressed left button,4,1,2,0.5355789,0
0,0,74, 2.png, 1.png,0.44071895,0.5439532, pressed right button,5,2,1,0.3899611,1
0,0,75, 2.png, 1.png,0.4499043,0.58474324, pressed left button,4,1,2,0.4123872,0
0,0,76, 2.png, 1.png,0.46174599,0.6217131, pressed right button,5,2,1,0.2629283,1
0,0,77, 1.png, 2.png,0.62231837,0.45322719, pressed left button,4,2,1,0.3442261,1
0,0,78, 2.png, 1.png,0.44354427,0.6079382, pressed right button,5,2,1,0.28656,0
0,0,79, 2.png, 1.png,0.43829184,0.63103477, pressed left button,4,1,2,0.3526668,1
0,0,80, 2.png, 1.png,0.41849364,0.69749351, pressed left button,4,1,2,0.3149025,1
0,0,81, 2.png, 1.png,0.42271111,0.65994047, pressed left button,4,1,2,0.356255,0
0,0,82, 1.png, 2.png,0.66791988,0.42304732, pressed right button,5,1,2,0.4689969,1
0,0,83, 2.png, 1.png,0.40524698,0.66829403, pressed left button,4,1,2,0.3183298,1
0,0,84, 2.png, 1.png,0.40600375,0.67631837, pressed left button,4,1,2,0.3130698,0
0,0,85, 1.png, 2.png,0.65071166,0.40026013, pressed right button,5,1,2,0.4409682,1
0,0,86, 2.png, 1.png,0.40650534,0.63520623, pressed left button,4,1,2,0.3645017,1
0,0,87, 1.png, 2.png,0.60347061,0.38628293, pressed right button,5,1,2,0.3604508,0
0,0,88, 2.png, 1.png,0.37420182,0.63733096, pressed left button,4,1,2,0.3684411,1
0,0,89, 2.png, 1.png,0.35229553,0.6083781, pressed left button,4,1,2,0.3819441,0
0,0,90, 1.png, 2.png,0.5968193,0.35898359, pressed left button,4,2,1,0.485292,0
0,0,91, 1.png, 2.png,0.57489693,0.32523531, pressed right button,5,1,2,0.4408105,1
0,0,92, 1.png, 2.png,0.55128889,0.3268759, pressed right button,5,1,2,0.5306803,1
0,0,93, 2.png, 1.png,0.35882333,0.52774345, pressed left button,4,1,2,0.3276945,0
0,0,94, 1.png, 2.png,0.53530998,0.3949442, pressed left button,4,2,1,0.4895406,1
0,0,95, 1.png, 2.png,0.56523975,0.39153298, pressed left button,4,2,1,0.4180555,0
0,0,96, 2.png, 1.png,0.39950853,0.50116191, pressed left button,4,1,2,0.3771248,0
0,0,97, 2.png, 1.png,0.39963173,0.48423724, pressed right button,5,2,1,0.5243142,1
0,0,98, 2.png, 1.png,0.38045394,0.46302955, pressed right button,5,2,1,0.4571553,1
0,0,99, 2.png, 1.png,0.36756741,0.45662196, pressed right button,5,2,1,0.592933,1
0,0,100, 1.png, 2.png,0.49262346,0.33371617, pressed left button,4,2,1,0.454755,0
