,label,x_left,y_left,x_right,y_right
0,5,0.4937544,0.5094528,0.4915065,0.517963
1,4,0.49242312,0.52022314,0.49747202,0.5168924
2,5,0.51380944,0.5366801,0.51873285,0.53715473
3,4,0.2863237,0.51172787,0.2928005,0.5226134
4,4,0.32739425,0.51105744,0.3321214,0.51545197
5,4,0.3075234,0.5319077,0.31291202,0.54317456
6,4,0.37275854,0.50505364,0.37324405,0.5147185
7,4,0.3082054,0.49713674,0.31571496,0.51581347
8,5,0.6276512,0.49954122,0.6376703,0.50380945
9,4,0.3059605,0.5100901,0.31093755,0.5197742
10,4,0.32510743,0.5098692,0.3290836,0.5253406
11,4,0.33091617,0.5095608,0.33465382,0.52422214
12,5,0.5427393,0.50142604,0.5494119,0.51041615
13,4,0.30232102,0.5078217,0.30878398,0.52038914
14,4,0.24265267,0.5137354,0.24494398,0.52854943
15,5,0.5671324,0.5002878,0.573406,0.5055191
16,4,0.28429586,0.51035696,0.28770825,0.52194464
17,4,0.29193392,0.51074636,0.29891065,0.5254682
18,4,0.46693265,0.52706224,0.4751082,0.540962
19,5,0.59464085,0.4992121,0.5987017,0.5078929
20,5,0.63073736,0.49317652,0.6362229,0.505763
21,4,0.31097266,0.5240833,0.31477326,0.5416004
22,4,0.38252464,0.5062052,0.38193828,0.5150267
23,4,0.38539508,0.50845075,0.38656515,0.51693624
24,4,0.31239408,0.51240414,0.31496552,0.51908034
25,5,0.7286356,0.51202697,0.7349505,0.5132757
26,4,0.27357033,0.48808715,0.27569118,0.503697
27,5,0.66735893,0.49083918,0.6742285,0.49518764
28,5,0.62429845,0.5212292,0.6339686,0.5343265
29,4,0.2651857,0.5241393,0.26721805,0.53544796
30,5,0.71578044,0.51062536,0.7186795,0.51081073
31,4,0.24228846,0.5108348,0.24822682,0.5237686
32,5,0.6381241,0.52698535,0.64436555,0.52979153
33,5,0.6908134,0.4874792,0.70201564,0.49141943
34,4,0.24889104,0.56051755,0.25239483,0.5693537
35,4,0.44766718,0.52796507,0.45660305,0.5347479
36,5,0.56962097,0.5135971,0.574891,0.51960367
37,5,0.5531346,0.50981677,0.55927175,0.5188016
38,5,0.49941555,0.51082975,0.5070089,0.52086484
39,4,0.3762108,0.51637304,0.37853456,0.52286863
40,4,0.3680387,0.5239867,0.37509295,0.52588665
41,4,0.31322917,0.5141505,0.3143515,0.52446014
42,5,0.64728117,0.5376476,0.65424603,0.5411363
43,4,0.30046389,0.51967263,0.30620074,0.526965
44,4,0.27187425,0.5264968,0.26946712,0.541588
45,5,0.6508043,0.5304338,0.65585804,0.53418237
46,5,0.55071235,0.53514826,0.56460583,0.55047643
47,4,0.36404753,0.5127808,0.36871263,0.5223475
48,4,0.27903524,0.5180223,0.28603998,0.52449983
49,5,0.63482463,0.5052756,0.638865,0.5030195
50,4,0.27423435,0.52516806,0.27287674,0.52806485
51,5,0.6846049,0.50404525,0.69097805,0.5102849
52,5,0.57208043,0.5063811,0.58575517,0.5148023
53,4,0.66869247,0.50708747,0.6780079,0.5159499
54,5,0.7351316,0.49437937,0.7424339,0.5037524
55,5,0.38483837,0.5177512,0.39942744,0.5274763
56,5,0.6481034,0.51939476,0.64807093,0.51071155
57,4,0.45977163,0.5109223,0.47057697,0.518926
58,4,0.48015153,0.513612,0.49299234,0.5104711
59,4,0.29742628,0.5319909,0.30167723,0.53302574
60,4,0.33492598,0.5132493,0.33990762,0.52088237
61,5,0.7194476,0.5209844,0.7293173,0.52663636
62,4,0.26088953,0.51653934,0.266855,0.5285685
63,5,0.7182234,0.49974266,0.7272051,0.5017828
64,5,0.38667256,0.521848,0.39650154,0.5220432
65,5,0.65615326,0.49666703,0.6661851,0.5041486
66,4,0.23871166,0.5179517,0.24658376,0.5330884
67,4,0.40816665,0.50960577,0.41797113,0.51443875
68,5,0.46409103,0.5087268,0.47905076,0.5233519
69,5,0.69685394,0.5219263,0.70430773,0.5240449
70,5,0.7444339,0.5186006,0.7473902,0.51539755
71,5,0.6653025,0.4993031,0.66847944,0.49396637
72,4,0.2621572,0.50332785,0.26727644,0.5110597
73,5,0.6193502,0.5133298,0.62297904,0.510551
74,4,0.49405453,0.49960944,0.4931271,0.5056356
75,5,0.67127365,0.50793356,0.6740493,0.5053898
76,4,0.28276646,0.52686405,0.28374445,0.54090846
77,5,0.6090471,0.50597256,0.6108017,0.50889486
78,4,0.33826858,0.5115174,0.34274018,0.5270755
79,4,0.3663516,0.503862,0.36743814,0.5169469
80,4,0.27861252,0.48925498,0.2784497,0.50859696
81,5,0.70598483,0.5134304,0.7082924,0.51026416
82,4,0.37876016,0.5083282,0.38112906,0.5049771
83,4,0.39282465,0.51251364,0.39829236,0.50924367
84,5,0.4532021,0.51819694,0.46539298,0.5092979
85,4,0.297109,0.51364726,0.3024622,0.5175255
86,5,0.6971727,0.5105899,0.7025797,0.510814
87,4,0.35983473,0.5131397,0.3651803,0.5161403
88,4,0.3253566,0.5122524,0.32860714,0.5134192
89,4,0.29872307,0.5199091,0.30885002,0.5307046
90,5,0.5887044,0.51472175,0.59973276,0.51608664
91,5,0.7140524,0.50989264,0.72028923,0.51243955
92,4,0.37629652,0.5011946,0.38198107,0.5149278
93,4,0.261093,0.5267942,0.2666558,0.5373142
94,4,0.3098619,0.5317946,0.31112513,0.5372575
95,4,0.29172954,0.5225235,0.29828718,0.53572154
96,5,0.6955977,0.5053252,0.7025808,0.5095096
97,5,0.6519523,0.49952304,0.6567378,0.50229454
98,5,0.6730658,0.504653,0.68314666,0.49842578
99,4,0.3004422,0.49598968,0.30527085,0.5128844
